,Unnamed: 0,Asin,Rating,Subject,Review,ProductName,Url
0,0,B07J6TCPK6,4.0 out of 5 stars,4.0 out of 5 starsCleanser is amazing.,It works really well even for sensitive and acne prone skin as it works without disturbing the natural barrier or pH of the skin which is good. It is not harsh at all .It doesn't have fragrance or any harmful chemical which is bad for skin . If I talk about the quantity then 125 ml is adequate for almost 1.5 months.,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
1,1,B07J6TCPK6,4.0 out of 5 stars4.0 out of 5 stars,4.0 out of 5 starslight facewash,I loved this product. Most of the facewashes I used previously dry my skin after wash but this does not do that. My doctor also recommended this once.,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=2
2,2,B07J6TCPK6,4.0 out of 5 stars,4.0 out of 5 starsNice,N,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=3
3,3,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsGood product,No scent..no foam..mild...non drying of skin..reliable product,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=4
4,4,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsBest product,"After start using this cleanser, no breakouts on my face. It’s amazing for daily use.",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=5
5,5,B07J6TCPK6,4.0 out of 5 stars4.0 out of 5 stars,4.0 out of 5 starsBad packaging,Product quality is good but packaging was pathetic,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=6
6,6,B07J6TCPK6,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsGood for Normal to Dry skin,"Has good ingredients. Creamy, Hydrating cleanser. Fragrance free.",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=7
7,7,B07J6TCPK6,4.0 out of 5 stars,"4.0 out of 5 starsUsed CeraVe for years, switched to Cetaphil recently, loving it so far","Purchased it 3 months ago and the bottle seems to be super long lasting, only half used even as I wash my face 3 to 4 times a day. The skin is soft to the touch and it never dries my skin out like every other facewash on the market. Not as thick, Hydrating, and Moisturizing as CeraVe (Not available in India) but better than most out there. The pump is a bit flimsy and seems breakable. Overall, Super happy with this purchase.",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=8
8,8,B07J6TCPK6,3.0 out of 5 stars,3.0 out of 5 starsNot bad,I heard so much nice about this but the consistency of the facewash clot my pores,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=9
9,9,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsCetaphil never disappoints,"Great product as usual. Pump mechanism is very useful and convenient. I bought the 1 litre pack- more economical in terms of Rs/ml compared to 200ml and 500ml. Ofcourse it is costly than other products, but it is skin friendly.Good product to buy..",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=10
10,10,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsPerfect,Perfect for dry skin.,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=11
11,11,B07J6TCPK6,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsA must have.,The media could not be loaded.                 I have been using it since 3 days now and i can see changes in my skin n pores. Very small drop is enough. A very good product.,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=12
12,12,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsGo for it,For all skin types,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=13
13,13,B07J6TCPK6,4.0 out of 5 stars,4.0 out of 5 starsNice,It's very light and works fine.,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=14
14,14,B07J6TCPK6,4.0 out of 5 stars,4.0 out of 5 starsMake your skin into Soft texture☺️☺️😍🥰,"Who has sensitive, acne prone and dry skin can use this cleanser. I have been using it since 2years and if it is available in reasonable price so can use it by many subscribers regularly.😅😅👍👍❤️❤️",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=15
15,15,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsBest product,I use it regularly,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=16
